	trp-L[-0.0]	utp[0.0]	his-L[0.0]	mobd[0.0]	dgtp[-0.0]	thmpp[0.0]	asn-L[-0.0]	nh4[0.0]	pydx5p[-0.0]	nadp[-0.0]	dctp[-0.0]	met-L[-0.0]	phe-L[0.0]	fe2[-0.0]	k[-0.0]	arg-L[-0.0]	fe3[0.0]	protein[-0.0]	pe160c[-0.0]	gly[-0.0]	dna[-0.0]	mlthf[0.0]	utp[-0.0]	pe160p[0.0]	atp[-0.0]	arg-L[0.0]	inorganic[-0.0]	mg2[-0.0]	murein[0.0]	sheme2[-0.0]	cu2[0.0]	pro-L[-0.0]	ser-L[0.0]	mg2[0.0]	met-L[0.0]	murein5px4p[0.0]	ser-L[-0.0]	lipids[0.0]	mn2[0.0]	dna[0.0]	lipids[-0.0]	ile-L[0.0]	k[0.0]	2ohph[-0.0]	lys-L[-0.0]	ribflv[0.0]	ctp[0.0]	lys-L[0.0]	pydx5p[0.0]	gtp[0.0]	his-L[-0.0]	zn2[0.0]	glu-L[0.0]	thr-L[-0.0]	cobalt2[0.0]	phe-L[-0.0]	nh4[-0.0]	2ohph[0.0]	ile-L[-0.0]	sheme2[0.0]	tyr-L[-0.0]	dctp[0.0]	thr-L[0.0]	murein5px4p[-0.0]	cobalt2[-0.0]	lps[0.0]	solublep[-0.0]	fad[-0.0]	dgtp[0.0]	mn2[-0.0]	mlthf[-0.0]	kdo2lipid4[0.0]	glu-L[-0.0]	asp-L[-0.0]	pe161p[0.0]	nadp[0.0]	cl[-0.0]	pheme[-0.0]	rna[-0.0]	amet2[-0.0]	ala-L[0.0]	val-L[-0.0]	protein[0.0]	gly[0.0]	lps[-0.0]	amet2[0.0]	pro-L[0.0]	dttp[-0.0]	gln-L[-0.0]	ala-L[-0.0]	fad[0.0]	nad[-0.0]	mobd[-0.0]	leu-L[0.0]	nad[0.0]	ctp[-0.0]	trp-L[0.0]	gln-L[0.0]	cys-L[-0.0]	dttp[0.0]	coa[0.0]	coa[-0.0]	10fthf[-0.0]	asp-L[0.0]	asn-L[0.0]	solublep[0.0]	udcpdp[-0.0]	pe161p[-0.0]	ca2[0.0]	so4[-0.0]	pe160p[-0.0]	pe160c[0.0]	cl[0.0]	pi[0.0]	rna[0.0]	atp[0.0]	tyr-L[0.0]	pi[-0.0]	thf[-0.0]	pheme[0.0]	pe161c[0.0]	ribflv[-0.0]	so4[0.0]	murein[-0.0]	original	fe3[-0.0]	thf[0.0]	gtp[-0.0]	pe161c[-0.0]	thmpp[-0.0]	udcpdp[0.0]	kdo2lipid4[-0.0]	ca2[-0.0]	fe2[0.0]	cu2[-0.0]	datp[-0.0]	cys-L[0.0]	val-L[0.0]	zn2[-0.0]	inorganic[0.0]	datp[0.0]	leu-L[-0.0]	10fthf[0.0]
M_trp_L_c	 0.053397234873622246	 0.05684	 0.0539817907286241	 0.05684	 0.05684	 0.05684	 0.054076051746403744	 0.05684	 0.05684	 0.05684	 0.05684	 0.0540143634295095	 0.054048456879425825	 0.05684	 0.05684	 0.05420091349299229	 0.05684	 0.05396034840183056	 0.05684	 0.054335815720108094	 0.055732351368416096	 0.05684	 0.05684	 0.05684	 0.05684	 0.05420091349299229	 0.054519522996668186	 0.05684	 0.055380357570299785	 0.05684	 0.05684	 0.05404311275304933	 0.054031049912254735	 0.05684	 0.0540143634295095	 0.05684	 0.054031049912254735	 0.059515090149077826	 0.05684	 0.055732351368416096	 0.059515090149077826	 0.05412718666822773	 0.05684	 0.05684	 0.05422655676649382	 0.05684	 0.05684	 0.05422655676649382	 0.05684	 0.05684	 0.0539817907286241	 0.05684	 0.05411527218882237	 0.054073892210355946	 0.05684	 0.054048456879425825	 0.05684	 0.05684	 0.05412718666822773	 0.05684	 0.05401443352165741	 0.05684	 0.054073892210355946	 0.05684	 0.05684	 0.055910031553437614	 0.05561452398708753	 0.05684	 0.05684	 0.05684	 0.05684	 0.05684	 0.05411527218882237	 0.05407594606276344	 0.05684	 0.05684	 0.05684	 0.05684	 0.0683264151841361	 0.05684	 0.054288943782596175	 0.05427124016088421	 0.05396034840183056	 0.054335815720108094	 0.055910031553437614	 0.05684	 0.05404311275304933	 0.05684	 0.05411530978780315	 0.054288943782596175	 0.05684	 0.05684	 0.05684	 0.05436330235139587	 0.05684	 0.05684	 0.053397234873622246	 0.05411530978780315	 0.05397541553930919	 0.05684	 0.05684	 0.05684	 0.05684	 0.05407594606276344	 0.054076051746403744	 0.05561452398708753	 0.05684	 0.05684	 0.05684	 0.05684	 0.05684	 0.05684	 0.05684	 0.05684	 0.0683264151841361	 0.05684	 0.05401443352165741	 0.05684	 0.05684	 0.05684	 0.05684	 0.05684	 0.05684	 0.055380357570299785	 0.05684	 0.05684	 0.05684	 0.05684	 0.05684	 0.05684	 0.05684	 0.05684	 0.05684	 0.05684	 0.05684	 0.05684	 0.05397541553930919	 0.05427124016088421	 0.05684	 0.054519522996668186	 0.05684	 0.05436330235139587	 0.05684
M_dctp_c	 0.02702	 0.02702	 0.02702	 0.02702	 0.027506542191032893	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.020327278692383377	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.05875706106761954	 0.02702	 0.02702	 0.02561205226024442	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.025877462128226225	 0.02702	 0.026286053635514003	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.028248587051740163	 0.02702	 0.02561205226024442	 0.028248587051740163	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.020327278692383377	 0.02702	 0.02702	 0.02702	 0.026537461162314892	 0.026397199739681087	 0.02702	 0.027506542191032893	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.03243084539446533	 0.02702	 0.02702	 0.02702	 0.05875706106761954	 0.02702	 0.026537461162314892	 0.02702	 0.02702	 0.02723759549399574	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.02723759549399574	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.026397199739681087	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.03243084539446533	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.026286053635514003	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.02702	 0.027289094450013252	 0.02702	 0.02702	 0.02702	 0.025877462128226225	 0.027289094450013252	 0.02702	 0.02702
M_tyr_L_c	 0.13092923038675677	 0.1379	 0.1309558261267813	 0.1379	 0.1379	 0.1379	 0.13118449637443835	 0.1379	 0.1379	 0.1379	 0.1379	 0.1310348450866204	 0.1311175532709737	 0.1379	 0.1379	 0.13148740172373172	 0.1379	 0.13090380863011386	 0.1379	 0.1318146645351324	 0.13520255658300956	 0.1379	 0.1379	 0.1379	 0.1379	 0.13148740172373172	 0.13226032478172128	 0.1379	 0.1343486456993274	 0.1379	 0.1379	 0.131104588816199	 0.13107532525786997	 0.1379	 0.1310348450866204	 0.1379	 0.13107532525786997	 0.14437920069497853	 0.1379	 0.13520255658300956	 0.14437920069497853	 0.13130854590745686	 0.1379	 0.1379	 0.1315496104059681	 0.1379	 0.1379	 0.1315496104059681	 0.1379	 0.1379	 0.1309558261267813	 0.1379	 0.13127964226286964	 0.1311792574999332	 0.1379	 0.1311175532709737	 0.1379	 0.1379	 0.13130854590745686	 0.1379	 0.12765662765436944	 0.1379	 0.1311792574999332	 0.1379	 0.1379	 0.13563359555192459	 0.1349167160828341	 0.1379	 0.1379	 0.1379	 0.1379	 0.1379	 0.13127964226286964	 0.13118423999375448	 0.1379	 0.1379	 0.1379	 0.1379	 0.16575482261605326	 0.1379	 0.13170095668631548	 0.13165800901126742	 0.13090380863011386	 0.1318146645351324	 0.13563359555192459	 0.1379	 0.131104588816199	 0.1379	 0.13127973347521224	 0.13170095668631548	 0.1379	 0.1379	 0.1379	 0.13188134506682928	 0.1379	 0.1379	 0.13092923038675677	 0.13127973347521224	 0.13094036038968404	 0.1379	 0.1379	 0.1379	 0.1379	 0.13118423999375448	 0.13118449637443835	 0.1349167160828341	 0.1379	 0.1379	 0.1379	 0.1379	 0.1379	 0.1379	 0.1379	 0.1379	 0.16575482261605326	 0.1379	 0.12765662765436944	 0.1379	 0.1379	 0.1379	 0.1379	 0.1379	 0.1379	 0.1343486456993274	 0.1379	 0.1379	 0.1379	 0.1379	 0.1379	 0.1379	 0.1379	 0.1379	 0.1379	 0.1379	 0.1379	 0.1379	 0.13094036038968404	 0.13165800901126742	 0.1379	 0.13226032478172128	 0.1379	 0.13188134506682928	 0.1379
M_gtp_c	 0.2151	 0.2135259344868263	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.46832521583520603	 0.2151	 0.2151	 0.2108455685698756	 0.2151	 0.2135259344868263	 0.2151	 0.21940685118597447	 0.2151	 0.2062572194092876	 0.2151	 0.20951391234732902	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.225156353766926	 0.2151	 0.2108455685698756	 0.225156353766926	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.21211772074340976	 0.2151	 0.2151	 0.15554145764092067	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2115177648564958	 0.2103998062684594	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2041417607486796	 0.2151	 0.2151	 0.2151	 0.46832521583520603	 0.2151	 0.2115177648564958	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.21211772074340976	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2103998062684594	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2041417607486796	 0.21940685118597447	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.20951391234732902	 0.2151	 0.2151	 0.2151	 0.15554145764092067	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2151	 0.2062572194092876	 0.2151	 0.2151	 0.2151
M_mn2_c	 0.003158	 0.003158	 0.003158	 0.0030096580341645858	 0.003158	 0.003158	 0.003158	 0.003010751022786071	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.0030111050356970166	 0.005766891756592402	 0.003158	 0.0030111050356970166	 0.006900223117272596	 0.003158	 0.003158	 0.0031065623144500565	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003007789563939337	 0.0030095352340451724	 0.0030869419208851097	 0.003158	 0.0030085316507972967	 0.003158	 0.003158	 0.0030095352340451724	 0.003158	 0.003158	 0.003158	 0.0033174149602272097	 0.002969606722857075	 0.0031065623144500565	 0.0033174149602272097	 0.003158	 0.005766891756592402	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.0030085361257294655	 0.003158	 0.003158	 0.0030084777704351834	 0.003158	 0.003010751022786071	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.0030084777704351834	 0.003116466338831938	 0.0030999945294300775	 0.003158	 0.003158	 0.002969606722857075	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.0030087036205145032	 0.003158	 0.003808564707585524	 0.003158	 0.003158	 0.003158	 0.006900223117272596	 0.003158	 0.003116466338831938	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.0030096580341645858	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.0030999945294300775	 0.003158	 0.003158	 0.003008834196815746	 0.0030095485067362943	 0.003158	 0.003158	 0.0030087036205145032	 0.0030095469677560147	 0.003808564707585524	 0.003158	 0.003158	 0.0030095469677560147	 0.003158	 0.003158	 0.003158	 0.003158	 0.0030095485067362943	 0.0030869419208851097	 0.003158	 0.0030111050356970166	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003008834196815746	 0.0030111050356970166	 0.0030085316507972967	 0.003158	 0.003158	 0.003158	 0.0030085361257294655	 0.003007789563939337	 0.003158	 0.003158	 0.003158
M_fe3_c	 0.007106	 0.007106	 0.007106	 0.00677765510055962	 0.007106	 0.007106	 0.007106	 0.006780116476510366	 0.007106	 0.007106	 0.007106	 0.007106	 0.007106	 0.0067809137024358035	 0.012986858601460056	 0.007106	 0.006583846197213099	 0.015539085130235924	 0.007106	 0.007106	 0.006995880487659183	 0.007106	 0.007106	 0.007106	 0.007106	 0.007106	 0.006773447364461814	 0.006777378558558421	 0.0069516959793160735	 0.007106	 0.006775118520693126	 0.007106	 0.007106	 0.006777378558558421	 0.007106	 0.007106	 0.007106	 0.007470714004921119	 0.006774892096038052	 0.006995880487659183	 0.007470714004921119	 0.007106	 0.012986858601460056	 0.007106	 0.007106	 0.007106	 0.007106	 0.007106	 0.007106	 0.007106	 0.007106	 0.006775128598099428	 0.007106	 0.007106	 0.006774997183814666	 0.007106	 0.006780116476510366	 0.007106	 0.007106	 0.007106	 0.007106	 0.007106	 0.007106	 0.007106	 0.006774997183814666	 0.007018184038629404	 0.00698109004265356	 0.007106	 0.007106	 0.006774892096038052	 0.007106	 0.007106	 0.007106	 0.007106	 0.007106	 0.007106	 0.006775505791079905	 0.007106	 0.00857676776668866	 0.007106	 0.007106	 0.007106	 0.015539085130235924	 0.007106	 0.007018184038629404	 0.007106	 0.007106	 0.007106	 0.007106	 0.007106	 0.007106	 0.007106	 0.00677765510055962	 0.007106	 0.007106	 0.007106	 0.007106	 0.007106	 0.007106	 0.007106	 0.007106	 0.007106	 0.007106	 0.007106	 0.007106	 0.00698109004265356	 0.007106	 0.007106	 0.006775799844797665	 0.0067774084482407895	 0.007106	 0.007106	 0.006775505791079905	 0.006777404982505672	 0.00857676776668866	 0.007106	 0.007106	 0.006777404982505672	 0.007106	 0.007106	 0.007106	 0.007106	 0.0067774084482407895	 0.0069516959793160735	 0.007106	 0.006583846197213099	 0.007106	 0.007106	 0.007106	 0.007106	 0.007106	 0.007106	 0.006775799844797665	 0.0067809137024358035	 0.006775118520693126	 0.007106	 0.007106	 0.007106	 0.006775128598099428	 0.006773447364461814	 0.007106	 0.007106	 0.007106
M_pheme_c	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 0.0018934927502839824	 2.23E-4	 2.23E-4	 0.0018925815420308642	 0.0019066496408926925	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 0.0043389157570316765	 2.23E-4	 2.23E-4	 0.0019534313524771853	 0.0018936632723553731	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 0.0019109214473973708	 2.23E-4	 0.0019410938913036451	 0.001898309038834843	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 0.002086017190880614	 2.23E-4	 0.0019534313524771853	 0.002086017190880614	 2.23E-4	 2.23E-4	 0.0018946811923312395	 2.23E-4	 0.0018932564600182419	 2.23E-4	 2.23E-4	 0.0018925815420308642	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 0.0018946811923312395	 2.23E-4	 0.001898309038834843	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 0.0019596590826126067	 0.0018913222530650901	 0.0018953534273887377	 2.23E-4	 2.23E-4	 0.0018936632723553731	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 0.0019066496408926925	 2.23E-4	 0.0018156324741204443	 0.002394856099660341	 0.0018933752048916966	 2.23E-4	 2.23E-4	 0.0043389157570316765	 2.23E-4	 0.0019596590826126067	 0.0018933752048916966	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 0.0018953534273887377	 0.002151440920923236	 2.23E-4	 2.23E-4	 0.002151440920923236	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 0.0019177786762765892	 0.0019177786762765892	 0.001893745616239806	 2.23E-4	 2.23E-4	 0.0018913222530650901	 0.0018916137770013139	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 0.002394856099660341	 2.23E-4	 2.23E-4	 2.23E-4	 0.001898383366748108	 0.0018156324741204443	 2.23E-4	 0.0018932564600182419	 2.23E-4	 0.0019410938913036451	 2.23E-4	 2.23E-4	 0.001898383366748108	 2.23E-4	 2.23E-4	 0.0018934927502839824	 0.0018916137770013139	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 0.0019109214473973708	 2.23E-4	 2.23E-4	 0.001893745616239806
M_cl_c	 0.004737	 0.004737	 0.004737	 0.004502638003868279	 0.004737	 0.004737	 0.004737	 0.004504273183695697	 0.004737	 0.004737	 0.004737	 0.004737	 0.004737	 0.004504802809310498	 0.008627633336634301	 0.004737	 0.004504802809310498	 0.010323168443163725	 0.004737	 0.004737	 0.004647612911381976	 0.004737	 0.004737	 0.004737	 0.004737	 0.004737	 0.004499842654712393	 0.004502454287154194	 0.00461825956667851	 0.004737	 0.0045009528633975305	 0.004737	 0.004737	 0.004502454287154194	 0.004737	 0.004737	 0.004737	 0.004963061751521022	 0.00450080244142388	 0.004647612911381976	 0.004963061751521022	 0.004737	 0.008627633336634301	 0.004737	 0.004737	 0.004737	 0.004737	 0.004737	 0.004737	 0.004737	 0.004737	 0.004500959558177941	 0.004737	 0.004737	 0.0045008722549817705	 0.004737	 0.004504273183695697	 0.004737	 0.004737	 0.004737	 0.004737	 0.004737	 0.004737	 0.004737	 0.0045008722549817705	 0.00466242995573282	 0.004637787091273345	 0.004737	 0.004737	 0.00450080244142388	 0.004737	 0.004737	 0.004737	 0.004737	 0.004737	 0.004737	 0.004414305362268926	 0.004737	 0.005697852712135822	 0.004737	 0.004737	 0.004737	 0.010323168443163725	 0.004737	 0.00466242995573282	 0.004737	 0.004737	 0.004737	 0.004737	 0.004737	 0.004737	 0.004737	 0.004502638003868279	 0.004737	 0.004737	 0.004737	 0.004737	 0.004737	 0.004737	 0.004737	 0.004737	 0.004737	 0.004737	 0.004737	 0.004737	 0.004637787091273345	 0.004737	 0.004737	 0.004501405491299148	 0.004502474143936189	 0.004737	 0.004737	 0.004414305362268926	 0.004502471841524747	 0.005697852712135822	 0.004737	 0.004737	 0.004502471841524747	 0.004737	 0.004737	 0.004737	 0.004737	 0.004502474143936189	 0.00461825956667851	 0.004737	 0.004504802809310498	 0.004737	 0.004737	 0.004737	 0.004737	 0.004737	 0.004737	 0.004501405491299148	 0.004504802809310498	 0.0045009528633975305	 0.004737	 0.004737	 0.004737	 0.004500959558177941	 0.004499842654712393	 0.004737	 0.004737	 0.004737
M_k_c	 0.1776	 0.1776	 0.1776	 0.1692754908506901	 0.1776	 0.1776	 0.1776	 0.16933696500599144	 0.1776	 0.1776	 0.1776	 0.1776	 0.1776	 0.16935687614160472	 0.08892450217608164	 0.1776	 0.16935687614160472	 0.3880968009974658	 0.1776	 0.1776	 0.17472578434737607	 0.1776	 0.1776	 0.1776	 0.1776	 0.1776	 0.16917040043479278	 0.16926858406917064	 0.17362225307781368	 0.1776	 0.16921213843815036	 0.1776	 0.1776	 0.16926858406917064	 0.1776	 0.1776	 0.1776	 0.1865850004795509	 0.1692064833636357	 0.17472578434737607	 0.1865850004795509	 0.1776	 0.08892450217608164	 0.1776	 0.1776	 0.1776	 0.1776	 0.1776	 0.1776	 0.1776	 0.1776	 0.1692123901266581	 0.1776	 0.1776	 0.1692091079859726	 0.1776	 0.16933696500599144	 0.1776	 0.1776	 0.1776	 0.1776	 0.1776	 0.1776	 0.1776	 0.1692091079859726	 0.1752828272305239	 0.17435638522613423	 0.1776	 0.1776	 0.1692064833636357	 0.1776	 0.1776	 0.1776	 0.1776	 0.1776	 0.1776	 0.169221810719174	 0.1776	 0.21420927327782205	 0.1776	 0.1776	 0.1776	 0.3880968009974658	 0.1776	 0.1752828272305239	 0.1776	 0.1776	 0.1776	 0.1776	 0.1776	 0.1776	 0.1776	 0.1692754908506901	 0.1776	 0.1776	 0.1776	 0.1776	 0.1776	 0.1776	 0.1776	 0.1776	 0.1776	 0.1776	 0.1776	 0.1776	 0.17435638522613423	 0.1776	 0.1776	 0.16922915486499904	 0.16926933057966426	 0.1776	 0.1776	 0.169221810719174	 0.169269244021112	 0.21420927327782205	 0.1776	 0.1776	 0.169269244021112	 0.1776	 0.1776	 0.1776	 0.1776	 0.16926933057966426	 0.17362225307781368	 0.1776	 0.16935687614160472	 0.1776	 0.1776	 0.1776	 0.1776	 0.1776	 0.1776	 0.16922915486499904	 0.16935687614160472	 0.16921213843815036	 0.1776	 0.1776	 0.1776	 0.1692123901266581	 0.16917040043479278	 0.1776	 0.1776	 0.1776
M_sheme_c	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4	 2.23E-4
M_cu2_c	 0.003158	 0.003158	 0.003158	 0.0030096580341645858	 0.003158	 0.003158	 0.003158	 0.003010751022786071	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.0030111050356970166	 0.005766891756592402	 0.003158	 0.0030111050356970166	 0.006900223117272596	 0.003158	 0.003158	 0.0031065623144500565	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003007789563939337	 0.0030095352340451724	 0.0030869419208851097	 0.003158	 0.002969705970515694	 0.003158	 0.003158	 0.0030095352340451724	 0.003158	 0.003158	 0.003158	 0.0033174149602272097	 0.0030084311055833305	 0.0031065623144500565	 0.0033174149602272097	 0.003158	 0.005766891756592402	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.0030085361257294655	 0.003158	 0.003158	 0.0030084777704351834	 0.003158	 0.003010751022786071	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.0030084777704351834	 0.003116466338831938	 0.0030999945294300775	 0.003158	 0.003158	 0.0030084311055833305	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.0030087036205145032	 0.003158	 0.003808564707585524	 0.003158	 0.003158	 0.003158	 0.006900223117272596	 0.003158	 0.003116466338831938	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.0030096580341645858	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.0030999945294300775	 0.003158	 0.003158	 0.003008834196815746	 0.0030095485067362943	 0.003158	 0.003158	 0.0030087036205145032	 0.0030095469677560147	 0.003808564707585524	 0.003158	 0.003158	 0.0030095469677560147	 0.003158	 0.003158	 0.003158	 0.003158	 0.0030095485067362943	 0.0030869419208851097	 0.003158	 0.0030111050356970166	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003158	 0.003008834196815746	 0.0030111050356970166	 0.002969705970515694	 0.003158	 0.003158	 0.003158	 0.0030085361257294655	 0.003007789563939337	 0.003158	 0.003158	 0.003158
